,id,num_bidders
0,100_1,9
1,100_10,16
2,100_11,12
3,100_12,14
4,100_13,9
5,100_14,12
6,100_15,24
7,100_16,13
8,100_17,12
9,100_18,17
10,100_19,10
11,100_2,9
12,100_20,9
13,100_21,18
14,100_22,11
15,100_23,11
16,100_24,16
17,100_25,15
18,100_26,12
19,100_27,15
20,100_28,13
21,100_29,6
22,100_3,4
23,100_30,14
24,100_31,26
25,100_32,15
26,100_33,9
27,100_34,18
28,100_35,11
29,100_36,9
30,100_37,11
31,100_38,10
32,100_39,13
33,100_4,7
34,100_40,9
35,100_41,12
36,100_42,9
37,100_43,8
38,100_44,16
39,100_45,7
40,100_46,8
41,100_47,15
42,100_48,16
43,100_49,14
44,100_5,10
45,100_50,9
46,100_6,9
47,100_7,12
48,100_8,6
49,100_9,16
50,101_1,17
51,101_10,16
52,101_11,9
53,101_12,8
54,101_13,11
55,101_14,15
56,101_15,17
57,101_16,12
58,101_17,16
59,101_18,15
60,101_19,9
61,101_2,14
62,101_20,11
63,101_21,12
64,101_22,13
65,101_23,17
66,101_24,8
67,101_25,11
68,101_26,7
69,101_27,12
70,101_28,12
71,101_29,14
72,101_3,19
73,101_30,19
74,101_31,17
75,101_32,19
76,101_33,10
77,101_34,10
78,101_35,16
79,101_36,15
80,101_37,10
81,101_38,5
82,101_39,22
83,101_4,16
84,101_40,12
85,101_41,13
86,101_42,17
87,101_43,16
88,101_44,13
89,101_45,10
90,101_46,12
91,101_47,9
92,101_48,15
93,101_49,28
94,101_5,10
95,101_50,17
96,101_6,12
97,101_7,15
98,101_8,9
99,101_9,11
100,102_1,12
101,102_10,6
102,102_11,11
103,102_12,9
104,102_13,6
105,102_14,16
106,102_15,17
107,102_16,12
108,102_17,15
109,102_18,16
110,102_19,8
111,102_2,7
112,102_20,22
113,102_21,7
114,102_22,19
115,102_23,6
116,102_24,5
117,102_25,12
118,102_26,14
119,102_27,8
120,102_28,16
121,102_29,17
122,102_3,14
123,102_30,16
124,102_31,9
125,102_32,14
126,102_33,12
127,102_36,14
128,102_37,15
