,e_color
bornite metallic,1
argento,1
charcoal metallic,1
ametrin metallic,1
hot chocolate metallic,1
prosecco metallic,1
savannah metallic,1
cashmere metallic,1
ida rose,1
coral,1
moorland metallic,1
smoke metallic,1
giallo inti,1
byzanz metallic,1
smokin asphalt,1
rolls royce arctica,1
pale adobe metallic,1
cayman metallic,1
bamboo metallic,1
indigo ink pearl,1
gobi,1
fawn,1
medium seafoam metallic,1
satin cashmere metallic,1
absolute zero,1
fresh powder,1
giallo midas,1
oyster metallic,1
punk'n metallic,1
giallo prototipo,1
gris dolmen metallic,1
mystic clearcoat metallic,1
sebring metallic,1
mystic sea opal,1
sly,1
