,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders,sentiment_score
0,1,11,9,3700,1,5,18,2,0,0,4,1,0,3.0,0,2021,BMW M3,1,69250,9971,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.8734939759036146
1,0,27,39,128500,1,6,12,2,13,0,3,1,0,3.0,1,1998,BMW M3,1,18500,13137,100,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.3153791637136782
2,0,26,56,121600,1,6,14,2,14,3,3,1,0,4.0,1,1997,BMW M3,1,20750,12898,100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0.3751369112814896
3,1,14,15,102100,0,5,10,2,7,2,2,1,0,2.0,0,2008,BMW M3,1,21499,8843,177,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0.03012048192771083
4,1,19,14,100200,0,5,10,0,5,13,4,1,0,2.0,1,2004,BMW M3,1,25500,9957,162,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1.0
5,1,27,84,56000,0,7,19,13,3,5,5,1,0,2.0,1,2011,BMW M3,1,43000,19679,131,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.5719078847033705
6,0,25,54,155700,1,6,8,13,15,1,2,1,0,1.0,1,1999,BMW M3,1,20000,16832,112,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0.7201533406352685
7,1,18,42,46100,1,6,12,2,7,2,2,1,0,15.0,1,2005,BMW M3,1,30000,13522,107,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.5869632375656472
8,1,21,52,117600,0,5,8,10,19,5,3,1,0,2.0,0,2005,BMW M3,1,10000,7915,85,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0.4216867469879517
9,1,60,114,36500,1,7,8,6,3,1,7,1,0,1.0,1,2013,BMW M3,1,95600,38451,57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0.6093338872732309
