,position,user,comment,bid,rep,seller
0,1,Berlin72,Congrats to the buyer and seller. Great buy! Enjoy!,,Reputation Icon1,0
1,2,sausageroll,congrats,,Reputation Icon31,0
2,3,,"Sold to BAN_ONE for $28,000",,,0
3,4,BAN_ONE,,"$28,000",Reputation Icon12,0
4,5,RS_IAC,,"$27,500",Reputation Icon6,0
5,6,BAN_ONE,,"$27,000",Reputation Icon12,0
6,7,RS_IAC,,"$26,250",Reputation Icon6,0
7,8,BAN_ONE,,"$26,000",Reputation Icon12,0
8,9,sausageroll,,"$25,250",Reputation Icon31,0
9,10,RS_IAC,,"$25,000",Reputation Icon6,0
10,11,BAN_ONE,,"$24,250",Reputation Icon12,0
11,12,Berlin72,Is the front lip damaged (picture 6)? Are these hard scratches on the front bumper passenger side (pic 11)?,,Reputation Icon1,0
12,13,StickyLicky,,"$23,250",Reputation Icon2,0
13,14,MMRichmond,,"$23,000",Reputation Icon5,0
14,15,StickyLicky,,"$22,750",Reputation Icon2,0
15,16,sje63,"Re: cdogzoe
I've had literally 0 problems the entire time I've owned this vehicle, which was a real pleasure. This car has also always been garaged and serviced by Mercedes Benz themselves, if that's helpful.",,Reputation Icon8,1
16,17,ChuckBrown,Beautiful car !!!,,,0
17,18,steak4342,"Re: wrenching
Thanks for that info! Separately, I ran the VIN on SiriusXM and it shows that the radio is able to have it just as an FYI...",,,0
18,19,cdogzoe,"I am in the market for one of these Mercedes AMG not sure if I will act on this one as I just started my search, what are some common issues to look for on these when buying one ?",,Reputation Icon3,0
19,20,sivah90,,"$22,500",Reputation Icon2,0
20,21,RS_IAC,,"$21,500",Reputation Icon6,0
21,22,wrenching,"Re: steak4342
$2-3k; or if you're an adventurous DIYer you could do it yourself by replacing them 1 at a time.",,Reputation Icon237,0
22,23,steak4342,"Does anyone know a price range to have the Head Bolt issue resolved (not that there is one that we know of, but just to know that approx $# in case)",,,0
23,24,sje63,"Re: FernAMG
going X7.",,Reputation Icon8,1
24,25,FernAMG,"Re: sje63
I totally get it man. Had to get rid of mine for a family SUV as well. Any family wagon you have in mind?",,Reputation Icon10,0
25,26,sausageroll,,"$21,000",Reputation Icon31,0
26,27,sje63,"Re: FernAMG
thank you so much. Parting ways with this vehicle is super sad for me. Hope it finds a great home! But, time to get a family wagon.",,Reputation Icon8,1
27,28,FernAMG,Incredible machine. Probably one of the best cars I ever owned. Really regret selling it. GLWTA everyone!,,Reputation Icon10,0
28,29,WillyWorld,,"$20,000",Reputation Icon1,0
29,30,esahmed75,"@sje63 that is the best, most professional response I've seen by any seller. The issue is best explained in a YouTube video that I've linked to before:
https://www.youtube.com/watch?v=Rlj7254gOww
Your car is relatively low mileage for the model year, but even if you keep the car, you should consider fixing the problem. Aside from that, you have a beautiful car and any owner deserves to have peace of mind as they enjoy it, including YOU!",,Reputation Icon47,0
30,31,sje63,"Re: esahmed75
do you have something you can share with me on this problem from MB? To the extent it's feasible and this is indeed a common problem for low mileage cars, I would be open to discussing replacing them if needed - obviously depending on cost. As I've mentioned in prior posts, this car is fully serviced and maintained by MB and I have not received any diagnosis from them on defective head bolts.",,Reputation Icon8,1
31,32,esahmed75,"@pronet the engine number for this car is:
156983-60-017823
The cutoff for the defective head bolts is *60-060658.
So, this car DEFINITELY left the factory with the defective head bolts. I don't see any indication that they were ever replaced in the service history of this car.",,Reputation Icon47,0
32,33,pronet,"Re: amg_613_fan
I would’ve definitely bought this car if I haven’t bought mine two months ago, no I don’t have the funds for this one… such a beautiful machine!",,,0
