,make_model,cumsum
BMW M3,272.0,3.236168947055324
Porsche 911,264.0,6.377156454491375
Chevrolet Corvette,205.0,8.816180844735277
Ford Mustang,185.0,11.017251635930995
Mazda MX-5 Miata,167.0,13.004164187983344
Toyota Land Cruiser,155.0,14.848304580606781
BMW M5,122.0,16.299821534800714
Porsche Cayenne,117.0,17.6918500892326
Porsche Boxster,100.0,18.88161808447353
Audi S4,98.0,20.047590719809637
Jeep Wrangler,97.0,21.201665675193336
Toyota 4Runner,93.0,22.3081499107674
Lexus LX 470,91.0,23.390838786436642
Land Rover Range Rover,78.0,24.318857822724567
Ford F-150,75.0,25.211183819155263
Subaru WRX STI,71.0,26.055919095776325
Chevrolet Camaro,69.0,26.876859012492567
Ford Bronco,69.0,27.697798929208805
Mercedes-Benz E63 AMG,60.0,28.41165972635336
Mercedes-Benz C63 AMG,59.0,29.11362284354551
Porsche Cayman,59.0,29.815585960737657
Honda S2000,58.0,30.505651397977395
Toyota FJ Cruiser,55.0,31.160023795359905
Tesla Model 3,55.0,31.814396192742418
Rivian R1T,55.0,32.468768590124924
MINI Cooper,54.0,33.11124330755503
Land Rover Defender,54.0,33.75371802498513
Toyota Tacoma,53.0,34.38429506246282
BMW 335i,50.0,34.97917906008328
BMW 328i,50.0,35.574063057703746
Tesla Model S,48.0,36.14515169541939
Subaru WRX,43.0,36.656751933372995
BMW 540i,42.0,37.15645449137418
Mercedes-Benz SL500,41.0,37.64425936942296
Mercedes-Benz E55 AMG,41.0,38.13206424747174
Volkswagen GTI,39.0,38.59607376561571
BMW M4,38.0,39.048185603807255
BMW X5,38.0,39.50029744199881
Land Rover Discovery,36.0,39.92861392028554
BMW 135i,36.0,40.356930398572274
Ford F-250,35.0,40.77334919690661
Lexus GX 470,35.0,41.18976799524093
Audi S6,35.0,41.60618679357525
BMW 325i,34.0,42.01070791195717
Jeep Cherokee,34.0,42.415229030339084
Tesla Model X,34.0,42.819750148721
Land Rover Range Rover Sport,33.0,43.2123735871505
BMW M2,33.0,43.60499702558001
Honda Civic,32.0,43.98572278405711
Nissan 300ZX,32.0,44.3664485425342
Audi R8,31.0,44.735276621058894
GMC Sierra,31.0,45.10410469958358
BMW 740i,31.0,45.47293277810827
Ford Mustang SVT Cobra,31.0,45.84176085663296
Mitsubishi Lancer Evolution,31.0,46.210588935157645
